YEAR,QUARTER,ITIN_ID,SEQ_NUM,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,DISTANCE,TRIP_BREAK
2024,2,20240600109,1,DFW,DEN,AA,9,641,X
2024,2,20240600110,1,DEN,DFW,DL,8,641,X
2024,2,20240600111,1,DFW,ATL,DL,2,641,
2024,2,20240600111,2,ATL,DEN,DL,2,641,X
2024,2,20240600112,1,DFW,ATL,DL,2,641,
2024,2,20240600112,2,ATL,DEN,DL,2,641,X
2024,2,20240600113,1,ATL,JFK,AA,4,759,X
2024,2,20240600114,1,JFK,ATL,DL,3,759,X
2024,2,20240600115,1,ATL,JFK,AA,5,759,X
2024,2,20240600116,1,JFK,ATL,DL,4,759,X
2024,2,20240600117,1,ATL,JFK,AA,6,759,X
2024,2,20240600118,1,JFK,ATL,DL,5,759,X
2024,2,20240600119,1,ATL,JFK,AA,7,759,X
2024,2,20240600120,1,JFK,ATL,DL,6,759,X
2024,2,20240600121,1,ATL,JFK,AA,8,759,X
2024,2,20240600122,1,JFK,ATL,DL,7,759,X
2024,2,20240600123,1,ATL,JFK,AA,9,759,X
2024,2,20240600124,1,JFK,ATL,DL,8,759,X
2024,2,20240600125,1,ATL,ATL,DL,2,759,
2024,2,20240600125,2,ATL,JFK,DL,2,759,X
2024,2,20240600126,1,ATL,ATL,DL,2,759,
2024,2,20240600126,2,ATL,JFK,DL,2,759,X
2024,2,20240600127,1,ORD,SEA,AA,4,1716,X
2024,2,20240600128,1,SEA,ORD,DL,3,1716,X
2024,2,20240600129,1,ORD,SEA,AA,5,1716,X
2024,2,20240600130,1,SEA,ORD,DL,4,1716,X
2024,2,20240600131,1,ORD,SEA,AA,6,1716,X
2024,2,20240600132,1,SEA,ORD,DL,5,1716,X
2024,2,20240600133,1,ORD,SEA,AA,7,1716,X
2024,2,20240600134,1,SEA,ORD,DL,6,1716,X
2024,2,20240600135,1,ORD,SEA,AA,8,1716,X
2024,2,20240600136,1,SEA,ORD,DL,7,1716,X
2024,2,20240600137,1,ORD,SEA,AA,9,1716,X
2024,2,20240600138,1,SEA,ORD,DL,8,1716,X
2024,2,20240600139,1,ORD,ATL,DL,2,1716,
2024,2,20240600139,2,ATL,SEA,DL,2,1716,X
2024,2,20240600140,1,ORD,ATL,DL,2,1716,
2024,2,20240600140,2,ATL,SEA,DL,2,1716,X
