YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,PASSENGERS,MARKET_FARE,MARKET_MILES_FLOWN,MARKET_COUPONS
2024,2,DFW,DEN,AA,84,132.74,801,2
2024,2,DFW,DEN,DL,376,104.61,641,1
2024,2,DFW,DEN,DL,84,123.44,801,2
2024,2,DFW,DEN,WN,376,95.61,641,1
2024,2,DFW,DEN,WN,84,112.82,801,2
2024,2,DEN,DFW,AA,376,112.49,641,1
2024,2,DEN,DFW,AA,84,132.74,801,2
2024,2,DEN,DFW,DL,376,104.61,641,1
2024,2,DEN,DFW,DL,84,123.44,801,2
2024,2,DEN,DFW,WN,376,95.61,641,1
2024,2,DEN,DFW,WN,84,112.82,801,2
2024,2,ATL,JFK,AA,424,122.52,759,1
2024,2,ATL,JFK,AA,96,144.57,949,2
2024,2,ATL,JFK,DL,424,113.94,759,1
2024,2,ATL,JFK,DL,96,134.45,949,2
2024,2,ATL,JFK,WN,424,104.14,759,1
2024,2,ATL,JFK,WN,96,122.89,949,2
2024,2,JFK,ATL,AA,424,122.52,759,1
2024,2,JFK,ATL,AA,96,144.57,949,2
2024,2,JFK,ATL,DL,424,113.94,759,1
2024,2,JFK,ATL,DL,96,134.45,949,2
2024,2,JFK,ATL,WN,424,104.14,759,1
2024,2,JFK,ATL,WN,96,122.89,949,2
2024,2,ORD,SEA,AA,806,203.86,1716,1
2024,2,ORD,SEA,AA,192,240.55,2145,2
2024,2,ORD,SEA,DL,806,189.59,1716,1
2024,2,ORD,SEA,DL,192,223.72,2145,2
2024,2,ORD,SEA,WN,806,173.28,1716,1
2024,2,ORD,SEA,WN,192,204.47,2145,2
2024,2,SEA,ORD,AA,806,203.86,1716,1
2024,2,SEA,ORD,AA,192,240.55,2145,2
2024,2,SEA,ORD,DL,806,189.59,1716,1
2024,2,SEA,ORD,DL,192,223.72,2145,2
2024,2,SEA,ORD,WN,806,173.28,1716,1
2024,2,SEA,ORD,WN,192,204.47,2145,2
2024,2,ATL,ORD,AA,3,0.0,606,1
2024,2,ATL,ORD,AA,1,99999.0,606,1
